frameId;frame_main;frame_calib;frame_above;swimmerId;swimmerName;eventX;eventY;event;anno_type;custom_event;Temps (s);distance (m)
435;0;435;435;0;A;54.5252;22.8003;track;click;;7.26;54.5252
436;1;436;436;0;A;54.4542;22.6311;track;interp;;7.27;54.4542
437;2;437;437;0;A;54.6313;22.6062;track;interp;;7.29;54.6313
438;3;438;438;0;A;54.5602;22.4382;track;interp;;7.31;54.5602
439;4;439;439;0;A;54.6779;22.4217;track;interp;;7.32;54.6779
440;5;440;440;0;A;54.6654;22.2467;track;interp;;7.34;54.6654
441;6;441;441;0;A;54.5947;22.0811;track;interp;;7.36;54.5947
442;7;442;442;0;A;54.7116;22.0646;track;interp;;7.37;54.7116
443;8;443;443;0;A;54.6408;21.9003;track;interp;;7.39;54.6408
444;9;444;444;0;A;54.8156;21.8755;track;interp;;7.41;54.8156
445;10;445;445;0;A;54.7448;21.7124;track;interp;;7.42;54.7448
446;11;446;446;0;A;54.6744;21.5504;track;interp;;7.44;54.6744
447;12;447;447;0;A;54.848;21.5257;track;interp;;7.46;54.848
448;13;448;448;0;A;54.7776;21.365;track;interp;;7.47;54.7776
449;14;449;449;0;A;54.7076;21.2053;track;interp;;7.49;54.7076
450;15;450;450;0;A;54.88;21.1807;track;interp;;7.51;54.88
451;16;451;451;0;A;54.8099;21.0222;track;interp;;7.52;54.8099
452;17;452;452;0;A;54.9245;21.0058;track;interp;;7.54;54.9245
453;18;453;453;0;A;54.9116;20.8402;track;interp;;7.56;54.9116
454;19;454;454;0;A;54.8418;20.684;track;interp;;7.57;54.8418
455;20;455;455;0;A;54.9556;20.6676;track;interp;;7.59;54.9556
456;21;456;456;0;A;54.9427;20.5044;track;interp;;7.61;54.9427
457;22;457;457;0;A;55.0562;20.488;track;interp;;7.62;55.0562
458;23;458;458;0;A;54.9864;20.334;track;interp;;7.64;54.9864
459;24;459;459;0;A;54.917;20.1811;track;interp;;7.66;54.917
460;25;460;460;0;A;55.0862;20.1566;track;interp;;7.67;55.0862
461;26;461;461;0;A;55.0167;20.0048;track;interp;;7.69;55.0167
462;27;462;462;0;A;55.1291;19.9884;track;interp;;7.71;55.1291
463;28;463;463;0;A;55.1157;19.8296;track;interp;;7.72;55.1157
464;29;464;464;0;A;55.0466;19.6799;track;interp;;7.74;55.0466
465;30;465;465;0;A;55.1583;19.6636;track;interp;;7.76;55.1583
466;31;466;466;0;A;55.1449;19.5068;track;interp;;7.77;55.1449
467;32;467;467;0;A;55.2563;19.4905;track;interp;;7.79;55.2563
468;33;468;468;0;A;55.1871;19.3429;track;interp;;7.81;55.1871
469;34;469;469;0;A;55.1737;19.1882;track;interp;;7.82;55.1737
470;35;470;470;0;A;55.2843;19.172;track;interp;;7.84;55.2843
471;36;471;471;0;A;55.2155;19.0265;track;interp;;7.86;55.2155
472;37;472;472;0;A;55.2022;18.8738;track;interp;;7.87;55.2022
473;38;473;473;0;A;55.3121;18.8576;track;interp;;7.89;55.3121
474;39;474;474;0;A;55.2436;18.7141;track;interp;;7.91;55.2436
475;40;475;475;0;A;55.3532;18.6979;track;interp;;7.92;55.3532
476;41;476;476;0;A;55.3394;18.5472;track;interp;;7.94;55.3394
477;42;477;477;0;A;55.2713;18.4056;track;interp;;7.96;55.2713
478;43;478;478;0;A;54.2694;14.552;track;click;;7.97;54.2694
479;44;479;479;0;A;55.3665;18.2408;track;interp;;7.99;55.3665
480;45;480;480;0;A;55.475;18.2247;track;interp;;8.01;55.475
481;46;481;481;0;A;55.4069;18.085;track;interp;;8.02;55.4069
482;47;482;482;0;A;55.3931;17.9383;track;interp;;8.04;55.3931
483;48;483;483;0;A;55.501;17.9222;track;interp;;8.06;55.501
484;49;484;484;0;A;55.4332;17.7844;track;interp;;8.07;55.4332
485;50;485;485;0;A;55.5946;17.7603;track;interp;;8.09;55.5946
486;51;486;486;0;A;55.5267;17.6235;track;interp;;8.11;55.5267
487;52;487;487;0;A;55.4592;17.4876;track;interp;;8.12;55.4592
488;53;488;488;0;A;55.5661;17.4716;track;interp;;8.14;55.5661
489;54;489;489;0;A;55.552;17.3286;track;interp;;8.16;55.552
490;55;490;490;0;A;55.6586;17.3126;track;interp;;8.17;55.6586
491;56;491;491;0;A;55.5912;17.1785;track;interp;;8.19;55.5912
492;57;492;492;0;A;55.5771;17.0373;track;interp;;8.21;55.5771
493;58;493;493;0;A;55.683;17.0213;track;interp;;8.22;55.683
494;59;494;494;0;A;55.6159;16.889;track;interp;;8.24;55.6159
495;60;495;495;0;A;55.7743;16.8651;track;interp;;8.26;55.7743
496;61;496;496;0;A;55.7071;16.7337;track;interp;;8.27;55.7071
497;62;497;497;0;A;55.6403;16.6031;track;interp;;8.29;55.6403
498;63;498;498;0;A;55.7978;16.5792;track;interp;;8.31;55.7978
499;64;499;499;0;A;55.7309;16.4496;track;interp;;8.32;55.7309
500;65;500;500;0;A;55.6644;16.3207;track;interp;;8.34;55.6644
501;66;501;501;0;A;55.8209;16.2969;track;interp;;8.36;55.8209
502;67;502;502;0;A;55.7544;16.1689;track;interp;;8.38;55.7544
503;68;503;503;0;A;55.8584;16.1531;track;interp;;8.39;55.8584
504;69;504;504;0;A;55.7919;16.0259;track;interp;;8.41;55.7919
505;70;505;505;0;A;55.7776;15.8917;track;interp;;8.43;55.7776
506;71;506;506;0;A;55.881;15.8759;track;interp;;8.44;55.881
507;72;507;507;0;A;55.8148;15.7504;track;interp;;8.46;55.8148
508;73;508;508;0;A;55.9695;15.7267;track;interp;;8.48;55.9695
509;74;509;509;0;A;55.9033;15.602;track;click;;8.49;55.9033
510;75;510;510;0;A;55.9033;15.602;track;interp;;8.51;55.9033
511;76;511;511;0;A;55.9033;15.602;track;interp;;8.53;55.9033
512;77;512;512;0;A;55.9033;15.602;track;interp;;8.54;55.9033
513;78;513;513;0;A;55.9033;15.602;track;interp;;8.56;55.9033
514;79;514;514;0;A;55.9033;15.602;track;interp;;8.58;55.9033
515;80;515;515;0;A;55.9033;15.602;track;interp;;8.59;55.9033
516;81;516;516;0;A;55.9033;15.602;track;interp;;8.61;55.9033
517;82;517;517;0;A;55.735;15.4939;track;interp;;8.63;55.735
518;83;518;518;0;A;55.735;15.4939;track;interp;;8.64;55.735
